Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
71,Alexandre Carrier,26,NSH,D,4,0,0,0,0,2,0.1,0,0,0,0,0,0,0,5,0.0,72,18:07,5,5,0,0,,carrial01
72,William Carrier,28,VEG,LW,2,0,1,1,0,0,0.1,0,0,0,0,1,0,0,6,0.0,21,10:45,2,4,0,0,,carriwi01
73,Jeff Carter,38,PIT,C,3,1,2,3,1,2,0.2,1,0,0,0,1,1,0,8,12.5,47,15:42,3,3,27,17,61.4,carteje01
74,Jackson Cates,25,PHI,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,7,6:59,1,1,1,3,25.0,catesja01
75,Noah Cates,23,PHI,LW,2,0,0,0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,39,19:37,2,4,15,26,36.6,catesno01
76,Cole Caufield,22,MTL,RW,4,3,1,4,-1,0,0.5,3,0,0,0,1,0,0,16,18.8,73,18:21,1,3,0,0,,caufico01
77,Cody Ceci,29,EDM,D,2,1,0,1,3,0,0.4,1,0,0,0,0,0,0,3,33.3,47,23:32,4,2,0,0,,cecico01
78,Erik Cernak,25,TBL,D,3,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,1,0.0,60,20:01,4,5,0,0,,cernaer01
79,Thomas Chabot,26,OTT,D,2,0,1,1,-3,4,0.0,0,0,0,0,1,0,0,6,0.0,51,25:38,6,3,0,0,,chaboth01
80,Jalen Chatfield,26,CAR,D,3,0,0,0,-1,5,0.0,0,0,0,0,0,0,0,6,0.0,40,13:14,2,4,0,0,,chatfja01
81,Ben Chiarot,31,DET,D,3,1,1,2,1,2,0.3,1,0,0,0,1,0,0,6,16.7,60,19:56,5,7,0,0,,chiarbe01
82,Yegor Chinakhov,21,CBJ,RW,3,0,0,0,-5,0,-0.2,0,0,0,0,0,0,0,2,0.0,43,14:18,2,4,0,1,0.0,chinaye01
83,Filip Chytil,23,NYR,C,4,1,1,2,2,6,0.2,1,0,0,1,1,0,0,6,16.7,59,14:38,4,6,25,20,55.6,chytifi01
84,Casey Cizikas,31,NYI,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,25,12:34,2,5,15,6,71.4,cizikca01
85,Brandt Clarke,19,LAK,D,3,0,0,0,1,2,0.0,0,0,0,0,0,0,0,3,0.0,39,12:50,2,0,0,0,,clarkbr02
86,Connor Clifton,27,BOS,D,3,0,4,4,5,0,0.6,0,0,0,0,4,0,0,7,0.0,72,23:54,6,9,0,0,,cliftco01
87,Cal Clutterbuck,35,NYI,RW,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,3,0.0,12,12:03,0,4,0,0,,cluttca01
88,Dylan Coghlan,24,CAR,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,15,14:59,1,2,0,0,,coghldy01
89,Andrew Cogliano,35,COL,LW,3,1,1,2,2,0,0.2,1,0,0,0,1,0,0,6,16.7,39,13:00,2,1,0,1,0.0,coglian01
90,Blake Coleman,31,CGY,C,2,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,3,0.0,27,13:22,4,6,1,0,100.0,colembl01
91,Ross Colton,26,TBL,C,3,1,1,2,1,2,0.2,1,0,0,1,1,0,0,6,16.7,34,11:22,2,9,5,6,45.5,coltoro01
92,J.T. Compher,27,COL,LW,3,0,1,1,2,0,0.1,0,0,0,0,1,0,0,3,0.0,49,16:22,3,3,22,26,45.8,comphj.01
93,Max Comtois,24,ANA,LW,3,1,0,1,-1,7,0.0,1,0,0,0,0,0,0,3,33.3,40,13:28,0,8,1,0,100.0,comtoma01
94,Kyle Connor,26,WPG,LW,2,1,1,2,1,0,0.2,1,0,0,0,1,0,0,7,14.3,41,20:31,1,3,0,0,,connoky01
95,Andrew Copp,28,DET,C,3,0,2,2,2,0,0.1,0,0,0,0,2,0,0,0,,54,18:06,2,2,15,34,30.6,coppan01
96,Paul Cotter,23,VEG,C,3,1,0,1,2,4,0.2,1,0,0,1,0,0,0,6,16.7,40,13:24,1,7,0,0,,cottepa01
97,Nick Cousins,29,FLA,C,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,23,7:48,0,3,6,7,46.2,cousini01
98,Logan Couture,33,SJS,C,4,1,1,2,-4,0,0.1,1,0,0,0,1,0,0,8,12.5,76,18:58,4,3,46,36,56.1,coutulo01
99,Charlie Coyle,30,BOS,C,3,1,1,2,3,2,0.2,1,0,0,0,1,0,0,2,50.0,52,17:16,4,4,18,14,56.3,coylech01
